No.;Time;Comment;Scramble;Date;P.1
3111;14.91;;F' B R2 L F2 D' L' F' R2 U B2 L2 D R2 U2 B2 D' L2 B2 R2 L;2021-01-31 18:16:29;14.91
3112;11.81;;R D F' D R2 B U2 B2 L2 D2 L2 D2 F2 R2 D F2 D' R2;2021-01-31 18:16:58;11.81
3113;13.07;;U' B2 D' U' B2 U2 F L' R B2 U' R2 B' L2 D L2;2021-01-31 18:17:30;13.07
3114;10.28;;D' R' B R2 D2 F' R2 D2 B F2 R2 D2 R2 U' B U F2 D2 R U2 B';2021-01-31 18:17:53;10.28
3115;13.68;;F2 L2 B2 R F2 L' D2 R2 D2 R B' U' B' F L R' D F' L';2021-01-31 18:18:16;13.68
3116;12.61;;L2 D2 F2 D2 B D2 B' U2 B F' D' L' D' F' U2 B' U R B' U2;2021-01-31 18:18:41;12.61
3117;13.62;;L D2 F' D L D2 L D' R2 B2 R' F2 D2 L U2 F2 R F2 R' U2;2021-01-31 18:19:15;13.62
3118;12.81;;D B R2 F' R F' L R2 U2 R2 U2 F' U2 F2 U2 R2 B' L2 F;2021-01-31 18:19:43;12.81
3119;10.52;;R D' B2 D' L2 D L2 U2 B2 L2 U' R2 F D2 B' D' B2 U L D';2021-01-31 18:20:09;10.52
3120;10.30;;D R U2 L D2 L' U2 B2 L2 R' F2 D U' F R' F' L' D' F;2021-01-31 18:20:34;10.30
3121;10.39;;U R' U2 F2 L2 R2 D R2 B2 D L2 F2 D2 L U B U' L2 F R' D2;2021-01-31 18:20:56;10.39
3122;12.98;;R2 D2 L2 D B U R' D B U2 D2 R' F2 L U2 L2 D2 R2 B2 L';2021-01-31 18:21:22;12.98
3123;16.20;;U' B' R' F2 U2 D2 R U2 F2 U' L2 B2 D' R2 L2 U' R2 L2 F U;2021-01-31 18:21:51;16.20
3124;16.06;;B2 L2 D' F2 U B2 D2 F2 R2 U' R2 L' B L' F' D' F2 R U L D;2021-01-31 18:22:21;16.06
3125;12.79;;U' L B' R' F' R' U L' B R2 U2 F2 B2 D' L2 U L2 F2;2021-01-31 18:22:47;12.79
3126;17.31;;F2 D' F2 D R2 F2 U2 R2 F2 U2 L F L2 R B U2 R2 D U B;2021-01-31 18:23:15;17.31
3127;11.42;;R' B' D' U' L2 D2 R2 F2 R2 D' L2 R2 B2 R F U L' R2 D U2;2021-01-31 18:23:58;11.42
3128;10.63;;L D' F2 U B2 L2 D2 L2 U2 B2 D' R B L' R' F' U2 F' R' B';2021-01-31 18:24:23;10.63
3129;15.61;;F B D F R2 D' L' F B L2 U B2 U' L2 U2 D' L2 F2 D F2 D';2021-01-31 18:24:47;15.61
3130;11.69;;U' F' U R2 U F2 U' B2 F2 D2 F2 R2 U' L2 R B D' L2 F' R U';2021-01-31 18:25:18;11.69
3131;14.04;;F L U2 B2 R' B2 L' D2 B2 L' U2 R' F' D U' B2 F D' B2 R2;2021-01-31 18:25:40;14.04
3132;13.66;;F L2 U2 R F2 D2 R B2 L' F2 R' B2 R' D F' D' F R' B2 D' U;2021-01-31 18:26:22;13.66
3133;12.98;;F R2 U B2 D2 U' L2 B2 L2 R2 D2 R' D L' B2 F L B U2 R;2021-01-31 18:26:50;12.98
3134;13.88;;D' B' D' R' U L2 D' L' B D' B2 U B2 U F2 U' R2 U';2021-01-31 18:27:27;13.88
3135;13.40;;F2 L2 U' L2 U' R2 U' B2 L2 F2 R D' B2 R' F L' U' B2 D;2021-01-31 18:27:58;13.40
3136;15.00;;F L2 B D2 L' D' R F' D' R2 B U2 R2 B R2 F B U2 L2;2021-01-31 18:28:22;15.00
3137;10.91;;R' U B2 R2 B2 D' F2 D' L2 D' B2 D2 B2 F' R U' L R2 F U2 B2;2021-01-31 18:28:49;10.91
3138;13.96;;L D B2 D' F' U B L U2 F2 L U2 R U2 R2 F2 R B2 R' D' L';2021-01-31 18:29:10;13.96
3139;12.01;;B' F2 D' F2 D' L2 D R2 D' B2 L2 U F2 B' R D2 U2 R' F2 R U;2021-01-31 18:29:40;12.01
3140;13.28;;D2 B2 R2 F2 D B2 D R2 U2 R2 F2 U B U R' F U' R' D' B2 U;2021-01-31 18:30:02;13.28
3141;11.88;;B R2 B L2 U2 B U2 R2 B' L2 F2 U2 D B D F2 R D L2 D2;2021-01-31 18:30:29;11.88
3142;13.22;;F' L2 R2 F2 R2 U F2 D L2 B2 F2 U R U' B2 U2 L B2 L';2021-01-31 18:31:02;13.22
3143;19.80;;L R B2 D2 U2 L2 R' U2 B2 F2 U2 D' B F' U F2 L2 R F' R' F;2021-01-31 18:31:30;19.80
3144;13.33;;F2 U2 R' D2 F U2 D' B U2 D2 R L2 F2 D2 L U2 L2 U2 F2 L';2021-01-31 18:32:32;13.33
3145;15.60;;U2 B2 R' U D' F2 R' D2 F' R2 L2 U2 R2 B2 L2 B U2 F U R;2021-01-31 18:33:05;15.60
3146;11.26;;D U2 L2 B2 U2 L2 U' L2 F2 D2 B2 L' U F' L2 F' U F' R' B' F2;2021-01-31 18:33:32;11.26
3147;11.36;;F' L' B2 U' R' U D' F R2 B2 L U2 F2 B2 R' U2 L U2 F2 L U';2021-01-31 18:33:54;11.36
3148;18.26;;F' B2 D2 F2 R' U2 L2 F2 R' D2 L2 D F' L' R2 F L2 U' F';2021-01-31 18:34:26;18.26
3149;16.65;;L' D B2 F2 D2 F2 U B2 U' F2 D' B2 U2 B D F' L F2 D L' F;2021-01-31 18:35:02;16.65
3150;14.23;;L2 F2 U' R2 B2 D B2 F2 D2 B2 D' L2 B U L' U' F' R' F U' B;2021-01-31 18:35:36;14.23
3151;12.85;;B L' R' U2 F2 D2 F2 R' D2 R' B2 D F2 L' F' D2 R' D R2;2021-01-31 18:36:33;12.85
3152;13.19;;B2 U2 F D2 F U2 R2 B R2 F' D2 U' B' U L D B2 D L' B;2021-01-31 18:36:57;13.19
3153;14.60;;D F' D2 L' B2 L B2 D2 F2 L2 B2 R' U2 L2 D' L D F L2 D U;2021-01-31 18:37:25;14.60
3154;11.08;;D' F2 R2 F2 D' B2 U B2 R2 D R2 U B' D R U B' D R B' R2;2021-01-31 18:37:50;11.08
3155;12.59;;R U B2 U2 B2 U2 R2 B2 F2 D' B2 L' B' D2 F2 D F L2 F2 R;2021-01-31 18:38:26;12.59
3156;14.62;;F2 D R2 D2 L2 U2 R2 F D2 U2 R2 B' L2 D L' D B U' L D2;2021-01-31 18:38:50;14.62
